Length,PreviousLength,InterArrivalTime,Type,Predict
136,1038,0.194807,Null,Null
136,1038,0.194824,Null,Null
141,1038,0.194841,Null,Null
135,1038,0.194886,Null,Null
126,1038,0.194907,Null,Null
138,1038,0.194924,Null,Null
155,1038,0.19494,Null,Null
136,1038,0.194957,Null,Null
138,1038,0.194972,Null,Null
136,1038,0.194988,Null,Null
193,1038,0.195004,Null,Null
149,1038,0.195021,Null,Null
166,1038,0.195038,Null,ClientKeyExchange
166,1038,0.195071,Null,ClientKeyExchange
149,1038,0.195087,Null,Null
148,1038,0.195102,Null,Null
154,1038,0.195116,Null,Null
146,1038,0.195133,Null,Null
146,1038,0.195147,Null,Null
156,1038,0.19517,Null,Null
136,1038,0.195203,Null,Null
144,1038,0.195255,Null,Null
142,1038,0.195298,Null,Null
139,1038,0.195316,Null,Null
133,1038,0.195331,Null,Null
178,1038,0.195346,Null,Null
328,178,0.000792000000004,Finished,Finished
328,178,0.001056,Finished,Finished
123,178,0.001056,Null,Null
123,178,0.001057,Null,Null
92,178,0.001057,Null,Null
92,178,0.001058,Null,Null
328,178,0.001058,Finished,Finished
328,178,0.001367,Finished,Finished
123,178,0.001368,Null,Null
123,178,0.001369,Null,Null
328,178,0.00137,Finished,Finished
92,178,0.00137,Null,Null
92,178,0.00137,Null,Null
132,178,0.001371,Null,Null
92,132,0.000205000000001,Null,Null
92,132,0.000452000000003,Null,Null
92,132,0.000548999999999,Null,Null
92,132,0.000723000000001,Null,Null
92,132,0.000830000000001,Null,Null
147,132,0.002157,ClientKeyExchange,ClientKeyExchange
141,132,0.002455,Null,ClientKeyExchange
753,141,0.001469,Null,Null
92,141,0.00147,Null,Null
511,141,0.002493,Null,Null
92,141,0.002493,Null,Null
1452,141,0.002745,Null,Null
1452,141,0.002981,Null,Null
676,141,0.002982,Null,Null
92,141,0.002985,Null,Null
328,141,0.002985,Finished,Finished
1452,141,0.00326399999999,Null,Null
1452,141,0.003265,Null,Null
132,141,0.003267,Null,Null
1514,141,0.004102,Null,Null
1514,141,0.004354,Null,Null
1514,141,0.004357,Null,Null
92,1514,0.000149,Null,Null
1514,92,0.000102999999996,Null,Null
1514,92,0.000510999999996,Null,Null
1514,92,0.000734000000001,Null,Null
1514,92,0.000734999999999,Null,Null
1514,92,0.000968999999998,Null,Null
1514,92,0.000969999999995,Null,Null
1514,92,0.001203,Null,Null
1514,92,0.001203,Null,Null
1514,92,0.001439,Null,Null
1514,92,0.00144,Null,Null
1514,92,0.001666,Null,Null
1514,92,0.001666,Null,Null
1514,92,0.001903,Null,Null
